invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total,profit,rating_level
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,08/03/19,10:29:00,Cash,9.6,0.48,76.39999999999999,36.672,High
9,WALM066,Grapevine,Health and beauty,36.26,2.0,10/01/19,17:15:00,Credit card,7.2,0.33,72.52,23.9316,Medium
10,WALM065,Texas City,Food and beverages,54.84,3.0,20/02/19,13:27:00,Credit card,5.9,0.33,164.52,54.2916,Medium
11,WALM013,Irving,Fashion accessories,14.48,4.0,06/02/19,18:07:00,Ewallet,4.5,0.48,57.92,27.8016,Low
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,09/03/19,17:03:00,Cash,6.8,0.48,102.04,48.9792,Medium
19,WALM053,Conroe,Food and beverages,54.67,3.0,21/01/19,18:00:00,Credit card,8.6,0.57,164.01,93.48569999999998,High
20,WALM013,Irving,Home and lifestyle,40.3,2.0,11/03/19,15:30:00,Ewallet,4.4,0.48,80.6,38.687999999999995,Low
22,WALM088,Cleburne,Health and beauty,87.98,3.0,05/03/19,10:40:00,Ewallet,5.1,0.33,263.94,87.1002,Medium
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,15/03/19,12:20:00,Credit card,4.4,0.33,66.4,21.912000000000003,Low
24,WALM067,Haltom City,Electronic accessories,34.56,5.0,17/02/19,11:15:00,Ewallet,9.9,0.33,172.8,57.02400000000001,High
27,WALM072,Lancaster,Fashion accessories,33.52,1.0,08/02/19,15:31:00,Cash,6.7,0.33,33.52,11.061600000000002,Medium
28,WALM046,Temple,Fashion accessories,87.67,2.0,10/03/19,12:17:00,Credit card,7.7,0.48,175.34,84.1632,Medium
34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,15/03/19,10:12:00,Credit card,5.1,0.18,193.16,34.7688,Medium
36,WALM095,Big Spring,Sports and travel,68.12,1.0,07/01/19,12:28:00,Ewallet,6.8,0.33,68.12,22.4796,Medium
41,WALM033,Pearland,Home and lifestyle,86.72,1.0,17/01/19,18:45:00,Ewallet,7.9,0.48,86.72,41.6256,Medium
42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,02/02/19,10:11:00,Cash,6.3,0.33,112.22,37.0326,Medium
45,WALM036,Allen,Health and beauty,15.37,2.0,16/03/19,19:47:00,Cash,7.2,0.48,30.74,14.755199999999999,Medium
49,WALM063,Georgetown,Electronic accessories,18.93,6.0,10/02/19,12:45:00,Credit card,8.1,0.33,113.58,37.4814,High
52,WALM093,Angleton,Food and beverages,44.59,5.0,10/02/19,15:10:00,Cash,8.5,0.33,222.95000000000002,73.57350000000001,High
53,WALM041,Mission,Fashion accessories,17.87,4.0,22/03/19,14:42:00,Ewallet,6.5,0.48,71.48,34.3104,Medium
54,WALM045,Missouri City,Fashion accessories,15.43,1.0,25/01/19,15:46:00,Credit card,6.1,0.48,15.43,7.4064,Medium
55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,07/03/19,11:49:00,Ewallet,6.5,0.48,32.32,15.5136,Medium
57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,27/03/19,11:26:00,Cash,5.8,0.36,88.68,31.9248,Medium
60,WALM031,Lewisville,Electronic accessories,30.61,6.0,12/03/19,20:36:00,Cash,9.3,0.48,183.66,88.15679999999999,High
61,WALM042,Bryan,Sports and travel,24.74,3.0,15/02/19,17:47:00,Credit card,10.0,0.48,74.22,35.6256,High
67,WALM020,Killeen,Health and beauty,33.47,2.0,10/02/19,15:43:00,Ewallet,6.7,0.48,66.94,32.1312,Medium
70,WALM035,San Angelo,Health and beauty,18.33,1.0,02/02/19,18:50:00,Cash,4.3,0.48,18.33,8.798399999999999,Low
73,WALM096,Eagle Pass,Food and beverages,48.52,3.0,05/03/19,18:17:00,Ewallet,4.0,0.18,145.56,26.2008,Low
80,WALM071,Lufkin,Health and beauty,20.38,5.0,22/01/19,18:56:00,Cash,6.0,0.33,101.89999999999999,33.626999999999995,Medium
85,WALM097,Alice,Sports and travel,48.91,5.0,09/03/19,10:17:00,Cash,6.6,0.18,244.54999999999998,44.019,Medium
89,WALM011,Lubbock,Sports and travel,42.47,1.0,02/01/19,16:57:00,Cash,5.7,0.48,42.47,20.3856,Medium
91,WALM095,Big Spring,Home and lifestyle,47.38,4.0,23/01/19,10:25:00,Cash,7.1,0.33,189.52,62.54160000000001,Medium
95,WALM075,San Marcos,Health and beauty,89.75,1.0,06/02/19,20:05:00,Credit card,6.6,0.33,89.75,29.6175,Medium
96,WALM034,College Station,Electronic accessories,97.16,1.0,08/03/19,20:38:00,Ewallet,7.2,0.48,97.16,46.636799999999994,Medium
98,WALM096,Eagle Pass,Electronic accessories,12.45,6.0,09/02/19,13:11:00,Cash,4.1,0.18,74.69999999999999,13.445999999999998,Low
99,WALM004,Austin,Food and beverages,52.75,3.0,23/03/19,10:16:00,Ewallet,9.3,0.48,158.25,75.96,High
101,WALM075,San Marcos,Fashion accessories,48.71,1.0,26/03/19,19:20:00,Cash,4.1,0.33,48.71,16.0743,Low
107,WALM038,Sugar Land,Fashion accessories,27.38,6.0,05/01/19,20:54:00,Credit card,7.9,0.48,164.28,78.8544,Medium
111,WALM007,Arlington,Sports and travel,16.49,2.0,05/02/19,11:32:00,Ewallet,4.6,0.48,32.98,15.830399999999997,Low
